"X2.126","X2.348","X2.593","X2.864","X3.163","X3.494","X3.859","X4.262","X4.707","X5.199","X5.742","X6.342","X7.005","X7.736","X8.545","X9.437","X10.423","X11.512","X12.715","X14.044","X15.511","X17.131","X18.921","X20.898","X23.082","X25.493","X28.157","X31.099","X34.348","X37.936","X41.9","X46.277","X51.112","X56.453","X62.351","X68.865","X76.06","X84.007","X92.784","X102.478","X113.184","X125.01","X138.071","X152.496","X168.429","X186.026","X205.462","X226.928","X250.637","X276.824","X305.746","X337.69","X372.971","X411.939","X454.978","X502.513","X555.015","X613.003","X677.049","X747.786"
"40",0.399886,0.648435,1.051008,1.595739,2.22094,2.877518,3.500343,4.072698,4.534445,4.768308,4.920296,4.860626,4.787369,4.760622,4.576797,4.262817,3.904772,3.569465,3.273967,2.991905,2.728973,2.492796,2.298753,2.13404,2.005424,1.898925,1.806204,1.735821,1.683854,1.657023,1.638908,1.614717,1.588671,1.57847,1.564748,1.517922,1.503393,1.480969,1.428193,1.369756,1.315489,1.244138,1.175309,1.108812,1.029382,0.956695,0.884659,0.822619,0.751034,0.693242,0.634679,0.586403,0.545298,0.500441,0.466202,0.43536,0.414555,0.391838,0.378598,0.369742
"42",0.439087,0.728789,1.183264,1.783202,2.45234,3.146487,3.7858,4.36274,4.817234,4.996458,5.116693,4.974089,4.833245,4.736084,4.491945,4.112035,3.705386,3.346493,3.046295,2.771916,2.524318,2.305924,2.141402,2.007662,1.906306,1.819829,1.746517,1.694398,1.653417,1.635809,1.622763,1.600777,1.571655,1.567181,1.555103,1.497114,1.483455,1.465161,1.413067,1.351961,1.298134,1.227272,1.159866,1.094391,1.015294,0.94225,0.870834,0.808719,0.737015,0.679359,0.620253,0.571828,0.531141,0.48687,0.45339,0.423515,0.40361,0.382907,0.371419,0.364812
"44",0.373304,0.599903,0.982652,1.51638,2.143934,2.815943,3.459265,4.053096,4.533941,4.776333,4.933274,4.870279,4.792445,4.755784,4.564687,4.243696,3.885434,3.56033,3.283613,3.021851,2.774494,2.546176,2.359749,2.199632,2.069467,1.957777,1.854223,1.769065,1.703852,1.6644,1.630999,1.591908,1.553036,1.537633,1.521413,1.472325,1.460895,1.445197,1.40272,1.351614,1.304412,1.240492,1.178814,1.117748,1.041254,0.969704,0.897667,0.834721,0.760897,0.700377,0.638445,0.586892,0.542947,0.49547,0.459091,0.426875,0.40507,0.38307,0.370843,0.363922
"45",0.359945,0.594472,1.018043,1.6355,2.371912,3.174988,3.930318,4.628713,5.192163,5.392553,5.553785,5.356276,5.178591,5.026386,4.726322,4.267747,3.799767,3.396241,3.065535,2.763431,2.498371,2.271336,2.099799,1.95077,1.847072,1.75954,1.681732,1.619722,1.572451,1.553364,1.53304,1.503521,1.468965,1.465462,1.452714,1.39261,1.383555,1.365978,1.312964,1.256527,1.206889,1.139043,1.075485,1.014695,0.940887,0.872654,0.807596,0.75113,0.686058,0.634447,0.581461,0.53952,0.504613,0.465775,0.437493,0.412203,0.395766,0.37811,0.368412,0.363055
"46",0.46495,0.761245,1.20667,1.775437,2.399051,3.024958,3.591211,4.085826,4.46123,4.621587,4.6948,4.584237,4.463026,4.401048,4.195909,3.889804,3.558205,3.259673,3.004958,2.769839,2.5528,2.357226,2.201931,2.076824,1.978035,1.899588,1.833735,1.786319,1.757187,1.752303,1.752164,1.745577,1.736585,1.738703,1.734612,1.694604,1.683626,1.662529,1.607429,1.540936,1.47499,1.387192,1.30025,1.216104,1.118255,1.028838,0.94059,0.864784,0.780294,0.712022,0.644856,0.590068,0.544731,0.497348,0.4614,0.430462,0.410402,0.389509,0.378339,0.371933
"47",0.405753,0.661626,1.072727,1.622609,2.24551,2.89269,3.4936,4.032255,4.449101,4.634882,4.736783,4.636867,4.52259,4.462812,4.257619,3.941239,3.597486,3.288553,3.024726,2.780081,2.555404,2.355771,2.198569,2.07144,1.977964,1.906811,1.846321,1.803793,1.776888,1.775702,1.780005,1.773163,1.761091,1.766566,1.765319,1.723154,1.713842,1.693709,1.635053,1.563119,1.495276,1.407609,1.321886,1.237505,1.137519,1.045483,0.954384,0.875276,0.787058,0.715356,0.644478,0.585998,0.537119,0.487111,0.448982,0.416238,0.394222,0.37355,0.362325,0.356389
"48",0.297901,0.454195,0.758558,1.22487,1.81601,2.479936,3.142959,3.759863,4.247681,4.489559,4.594387,4.471197,4.287491,4.132059,3.826514,3.445237,3.073118,2.775327,2.563295,2.409739,2.303652,2.23325,2.195688,2.171029,2.153157,2.12766,2.086542,2.044135,2.006045,1.986844,1.973019,1.952466,1.932269,1.934181,1.935148,1.903134,1.911864,1.913987,1.878738,1.829273,1.777597,1.695913,1.611026,1.523705,1.409257,1.300075,1.186405,1.08451,0.965629,0.86607,0.765824,0.68064,0.607541,0.533375,0.47582,0.427487,0.394054,0.366093,0.351259,0.345405
"50",0.460617,0.753058,1.180617,1.703388,2.24479,2.736897,3.11996,3.374748,3.482185,3.430408,3.318946,3.166011,3.074321,3.14706,3.184666,3.229387,3.271779,3.306407,3.310795,3.246563,3.106781,2.90655,2.679356,2.447639,2.229094,2.044292,1.897305,1.803987,1.768663,1.786148,1.837605,1.90207,1.974812,2.054497,2.122622,2.147946,2.180988,2.185909,2.139795,2.064608,1.977648,1.856012,1.730232,1.604839,1.460122,1.328959,1.198329,1.088386,0.969793,0.875717,0.786469,0.714629,0.657193,0.597962,0.55369,0.514847,0.491876,0.462585,0.448109,0.437923
"51",0.240000368,0.289304,0.45262,0.767542,1.255836,1.897825,2.626541,3.378087,4.029151,4.401936,4.582229,4.417894,4.105121,3.736235,3.175576,2.558545,2.026042,1.661653,1.47748,1.442874,1.520491,1.673118,1.871865,2.074249,2.262111,2.410659,2.511687,2.577257,2.61916,2.659903,2.677527,2.658386,2.621148,2.608751,2.586648,2.498302,2.472555,2.439735,2.352056,2.250989,2.156672,2.029318,1.907594,1.787172,1.637559,1.499487,1.364129,1.245832,1.108265,0.995557,0.881293,0.786514,0.706103,0.620347,0.554355,0.496165,0.456298,0.416994,0.394625,0.381358
"52",0.262653,0.435914,0.734534,1.207506,1.819109,2.508487,3.182794,3.779568,4.198281,4.303738,4.202396,3.818038,3.334088,2.87802,2.321687,1.8107,1.446017,1.276825,1.294171,1.451595,1.694658,1.970884,2.245299,2.476654,2.653458,2.758097,2.783941,2.757594,2.702723,2.647501,2.579514,2.494117,2.410618,2.366147,2.331225,2.25971,2.251642,2.248207,2.206476,2.150987,2.099512,2.017816,1.936062,1.848558,1.723941,1.601781,1.473647,1.35822,1.21439,1.092615,0.965447,0.856526,0.761107,0.658558,0.577572,0.506825,0.457081,0.410745,0.384312,0.370143
"53",0.240000446,0.299909,0.466436,0.810013,1.353262,2.090389,2.937614,3.856279,4.708068,5.195172,5.531198,5.343984,4.993872,4.494499,3.73065,2.822444,1.990563,1.350946,0.927862,0.709426,0.673876,0.781135,0.987979,1.243537,1.525085,1.793041,2.021493,2.207987,2.354046,2.489877,2.582663,2.617148,2.602477,2.621437,2.618985,2.504553,2.489691,2.461328,2.358869,2.249074,2.159688,2.034955,1.919229,1.811186,1.675174,1.54706,1.424303,1.314461,1.180446,1.075281,0.961317,0.868538,0.789248,0.695408,0.625164,0.558202,0.512381,0.460917,0.429244,0.407818
