"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27"
"31" 0.000198178853595981 6.10150378243414e-07 0.00403866024743981 6.95672650470118e-05 0.000214667008335839 2.04831329333949e-05 0.00135673290859176 4.60540478949893e-06 0.000714892651711317 0.000495529135114079 1.3925589866525e-05 0.00061195182675598 2.26688848828515e-05 0.0157366909262959 2.10980543081767e-05 3.4294881507604e-06 3.35983517799324e-05 6.28096278538999e-05 1.10822135007954e-06 0.000246885099788321 2.97751623126165e-05 0.000216069746182769 1.44743902669281e-05 6.24477552240084e-06 0.000159073779555164 0.00217186117980658 0.000315002738143839
"32" 0.000244896646719697 8.9906389901094e-07 0.00445851198534274 8.45178095935307e-05 0.000247583620854774 2.65497785157969e-05 0.00155970826898189 6.17625730947566e-06 0.000817558106272089 0.000571907595054694 1.91033552586227e-05 0.000735629021490422 2.88256603086675e-05 0.0167141956013951 2.67618034650269e-05 4.43009356386444e-06 4.25745864953471e-05 8.03503235720485e-05 1.53461530255117e-06 0.000297918505498393 3.68160804140027e-05 0.000256942753645838 1.88172249973915e-05 8.16496115892524e-06 0.000192431885631623 0.00250909839338752 0.000386496928047328
"33" 0.000299900781058572 1.30515223280537e-06 0.00489835413867638 0.000101974564696863 0.000284163198536707 3.40758333078597e-05 0.00178236004424201 8.19312667980923e-06 0.000930450167531557 0.000656806176294325 2.58707274694031e-05 0.000877282843647228 3.63284629849056e-05 0.0176829190406404 3.36436432128305e-05 5.6723446555176e-06 5.34683516369003e-05 0.000101857162918092 2.10001364508421e-06 0.000356737583449242 4.5167714149736e-05 0.000303450797761488 2.42228671006017e-05 1.0572335693224e-05 0.000231179447238055 0.00288151651864845 0.000469915990021738
"34" 0.000364141035623346 1.86822223874752e-06 0.00535733095075701 0.000122239954896591 0.000324660871180676 4.33319018984835e-05 0.00202536824225894 1.07577045802083e-05 0.00105412431389615 0.000750809607353651 3.46132359370622e-05 0.00103839661981261 4.5400599317298e-05 0.0186394523393446 4.19404969665892e-05 7.20288881158684e-06 6.65863439314457e-05 0.000128016922692026 2.84183294184547e-06 0.000424091104577187 5.50086305305226e-05 0.000356064203622019 3.08933024393231e-05 1.35650522564963e-05 0.000275925575843078 0.00329075264061892 0.000566454225581212
"35" 0.00043859854406298 2.639000274145e-06 0.00583451203401394 0.00014563781041343 0.000369338103511326 5.46232203569273e-05 0.00228933504729848 1.39891049883152e-05 0.00118913529354739 0.000854513950799898 4.57839711710461e-05 0.0012204385323627 5.62900053675835e-05 0.0195807483599931 5.18699078853535e-05 9.07514618323073e-06 8.22666613370995e-05 0.000159596913174314 3.8054553017745e-06 0.000500750080828336 6.65323923575393e-05 0.000415259626812249 3.90574669026191e-05 1.72559074958726e-05 0.000327315535544739 0.00373834839288379 0.000677310881715372
"36" 0.000524277267682559 3.68138572469177e-06 0.00632890581170661 0.000172513465340833 0.000418462357995024 6.82917428589043e-05 0.00257478033572069 1.80257708274627e-05 0.0013360359746882 0.000968525302661998 5.99101287450116e-05 0.00142484695239443 6.92702732947077e-05 0.0205041396325644 6.36706973631644e-05 1.13499565346214e-05 0.000100879666594347 0.000197448876067043 5.04545946695176e-06 0.000587505069917966 7.99478641906209e-05 0.000481517489938611 4.89730715429238e-05 2.17737108541411e-05 0.000386029852063513 0.00422573935435648 0.000803675318029311
"37" 0.000622194689697086 5.07499435573407e-06 0.00683947315269551 0.000203233749410493 0.000472306755374794 8.47180803451926e-05 0.00288213808020427 2.30274294342051e-05 0.00149537626851806 0.00109345846114443 7.7599323474523e-05 0.00165301590275943 8.46415367156367e-05 0.0214073502523551 7.76034810566958e-05 1.40962495095979e-05 0.000122828614776004 0.000242512414549372 6.62695943675184e-06 0.000685163615698515 9.5479461879066e-05 0.000555319398099078 6.0928338187434e-05 2.72646842006357e-05 0.00045278316394876 0.00475424543703674 0.000946711607133543
"38" 0.000733371864194473 6.91799434982111e-06 0.00736514105968199 0.000238186872085264 0.000531149734032852 0.00010432326258409 0.00321175365188516 2.91770774551338e-05 0.00166770212558365 0.00122993556896217 9.95455354525685e-05 0.00190628087643831 0.000102731198754758 0.0222885021091535 9.3951030334333e-05 1.73917358669553e-05 0.000148550026400246 0.000295817882975594 8.62704816014771e-06 0.000794547880746599 0.000113367347081759 0.000637145561466738 7.52436212073532e-05 3.3893883297124e-05 0.000528322819135341 0.00532506231241673 0.00110754284099902
"39" 0.000858822966730742 9.33023118347332e-06 0.00790481628309459 0.000277782198433011 0.000595274709181099 0.000127570296708861 0.00356388201917459 3.66829740478893e-05 0.00185355460546985 0.00137858473348255 0.00012653454972945 0.00218590522584642 0.000123894488055447 0.0231461158199609 0.000113018468782118 2.13236170248185e-05 0.000178513790476591 0.000358488667266311 1.11363420957193e-05 0.000916492520225026 0.000133867568980797 0.00072747225201743 9.22728918321662e-05 4.18466321606884e-05 0.000613427221734316 0.00593925391054569 0.00128723542454241
"40" 0.000999544503968569 1.24566299871329e-05 0.00845739874422681 0.00032244991691351 0.000664969732776735 0.000154965497385129 0.00393868683217804 4.57806197988526e-05 0.00205346901917494 0.00154003862872479 0.000159448755425311 0.0024930673257673 0.000148514829740704 0.0239791067672037 0.000135133295314672 2.59893100643803e-05 0.000213222984886867 0.000431742791553391 1.42606206514322e-05 0.00105184283757027 0.000157252156099917 0.000826769320035289 0.000112405062443467 5.1329961042266e-05 0.000708903935608588 0.00659774601287309 0.00148678364033744
"41" 0.00115650434719381 1.64708558644598e-05 0.00902179466223361 0.000372640599864399 0.000740527154961896 0.000187059566179553 0.00433624037262523 5.6734697611479e-05 0.00226797414295067 0.00171493308313508 0.000199271177909933 0.00282884869689152 0.000177004020206151 0.0247867766662535 0.000160645227484781 3.14971851731009e-05 0.00025321340471482 0.000516893792072334 1.81225527025305e-05 0.00120145325334082 0.00018380916176682 0.000935497794417438 0.00013606512964941 6.25740384728727e-05 0.000815587552864604 0.00730132094792966 0.00170709476523139
"42" 0.00133063075886877 2.15792039897972e-05 0.00959692929011755 0.000428824658098553 0.000822243287732855 0.000224448400395084 0.00475652434106676 6.98409509907517e-05 0.00249759150187978 0.00190390565692324 0.000247088629200117 0.0031942232588343 0.000209802196680921 0.0255688011008602 0.000189925860733881 3.79673123579444e-05 0.000299052792481501 0.000615350805575382 2.28635005753503e-05 0.00136618610887819 0.000213842667299838 0.00105410758900789 0.000163715116597703 7.5833587636861e-05 0.000934337336880083 0.00805061338773019 0.00194897501106626
"43" 0.00152280158263277 2.80246823525168e-05 0.0101817591748429 0.000491491691621708 0.000910418071455779 0.000267773614552037 0.00519943144580808 8.54279746709175e-05 0.00274283472100951 0.00210759421261719 0.000304093876610917 0.00359004786145643 0.000247377594671796 0.0263252134734705 0.00022336814154686 4.55322141308214e-05 0.000351339767671284 0.000728617826579434 2.86453901073181e-05 0.00154691081651372 0.000247672747448601 0.00118303533525676 0.00019585479689968 9.13892772094068e-05 0.00106603465088111 0.00884610723252734 0.00221311654804612
"44" 0.00173383376542375 3.60912409932934e-05 0.0107752838661911 0.000561149739043494 0.00100535474476205 0.000317722760769591 0.00566476775163646 0.000103858892419364 0.00300420894145517 0.00232663548236337 0.000371586747542501 0.0040170542217531 0.000290226088683994 0.0270563858200381 0.000261385654737889 5.43376207613104e-05 0.000410702456398137 0.00085829209546991 3.56526336784689e-05 0.00174450335812477 0.000285635402971364 0.00132270235945756 0.000233022184674806 0.00010954907673977 0.00121158018437592 0.00968813356223333 0.00250008585101544
"45" 0.00196447337580457 4.61080927159652e-05 0.0113765570079127 0.000638324428785627 0.00110735951827681 0.000375029237481001 0.00615225574084576 0.000125532897106773 0.0032822102985331 0.00256166363537449 0.000450974108583546 0.00447584237092884 0.000338870513958991 0.027763006936453 0.000304411727369409 6.45432246059837e-05 0.000477796825517924 0.00100606158775519 4.40940914864123e-05 0.00195984612411244 0.000328082465485859 0.00147351282069507 0.000275793777546759 0.000130649566668404 0.0013718909909453 0.0105768696244682 0.00281031358654797
"46" 0.00221538627531351 5.84540618053504e-05 0.0119846967531426 0.000723558035686399 0.00121674125255953 0.000440471879141117 0.00666153803436011 0.000150886628763687 0.00357732545867289 0.00281330884880131 0.000543768679281917 0.00496687569294745 0.000393859769355986 0.0284460582567156 0.00035289835406457 7.6323429959065e-05 0.000553304728895881 0.00117370158350006 5.42050548324424e-05 0.00219382807553171 0.000375381479884845 0.00163585202346793 0.000324784541890158 0.000155057193130121 0.00154789735197751 0.011512338821786 0.00314408623286481
"47" 0.00248714958993756 7.35618894850677e-05 0.012598895453952 0.000817408447059479 0.00133381114056456 0.00051487422280256 0.00719218171687963 0.000180395367341254 0.00389003121159397 0.00308219588518168 0.000651586664335018 0.00549047761221694 0.000455767703899951 0.0291067879120225 0.000407314950685884 8.98680948253354e-05 0.000637931676847114 0.0013630703050519 6.62492338273322e-05 0.00244734520332784 0.000427915569662114 0.00181008491676142 0.000380647632202159 0.00018316945781268 0.00174053948191877 0.0124944116541625 0.00350153959581289
